"total_incidentslog1p","percentlowgradeslog1p","percentacadnotimptlog1p","school_size","urban","crime_live_recode","crime_area_recode","school_type","visitor_badge","control_building","control_ground","require_check","random_check","lock_inside","close_lunch","random_sweep","drug_testing","wear_uniform","dress_code","school_lockers","book_bags","panic_button","emergency_notif","anonymous_report","student_id","staff_id","security_camera","radio","prohibit_phone","open_house","parent_teacher_conf","disciplinary_process","parent_training_assist","parenthelp_drug","socialshelp_drug","juvhelp_drug","lawhelp_drug","mhhelp_drug","civichelp_drug","privatehelp_drug","relighelp_drug","prevention_curriculum","sel","behav_mod","mentoring","peer_mediation","student_court","restorative_circles","promote_community"
0.693147180559945,2.39789527279837,4.45434729625351,1,0,1,1,"Elementary",1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,3,5,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0
2.56494935746154,3.04452243772342,4.33073334028633,2,1,1,1,"High",1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,3,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1.09861228866811,2.70805020110221,4.18965474202643,1,1,1,1,"Middle_Combined",1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,4,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1
2.89037175789616,2.39789527279837,4.26267987704132,1,0,3,2,"Middle_Combined",1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1
3.3322045101752,3.04452243772342,3.71357206670431,2,1,2,3,"Middle_Combined",1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
0,2.56494935746154,3.71357206670431,3,1,1,1,"Elementary",1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.56494935746154,2.19722457733622,3.25809653802148,2,1,1,1,"High",1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,2,2,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0
3.09104245335832,1.94591014905531,3.25809653802148,3,1,1,1,"Middle_Combined",1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,4,4,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
1.79175946922805,4.27666611901606,4.33073334028633,2,1,3,3,"Elementary",1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,2,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1
2.07944154167984,1.79175946922805,4.11087386417331,1,1,3,3,"Middle_Combined",1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.89037175789616,2.39789527279837,3.58351893845611,3,1,1,1,"Middle_Combined",1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
2.99573227355399,1.79175946922805,3.71357206670431,3,0,2,1,"Middle_Combined",1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,3,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0
1.38629436111989,0,2.39789527279837,2,1,2,2,"High",1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,3,2,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1
1.6094379124341,2.94443897916644,2.63905732961526,1,0,2,2,"Middle_Combined",1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,4,4,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1
4.74493212836325,3.25809653802148,3.71357206670431,3,0,2,1,"Middle_Combined",1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
4.11087386417331,3.58351893845611,3.58351893845611,3,1,2,2,"High",1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.89037175789616,2.56494935746154,3.04452243772342,4,0,2,2,"High",1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,2,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1
1.38629436111989,2.39789527279837,3.25809653802148,3,0,2,1,"Middle_Combined",1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,3,3,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1
3.46573590279973,1.79175946922805,2.39789527279837,4,1,1,1,"High",1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1.79175946922805,3.25809653802148,4.21950770517611,1,0,1,1,"Middle_Combined",1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,2,2,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1
1.38629436111989,0,0,4,1,2,1,"Middle_Combined",1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1
2.30258509299405,2.77258872223978,2.77258872223978,3,1,1,1,"Middle_Combined",1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,2,2,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0
2.07944154167984,3.25809653802148,3.36729582998647,3,0,2,1,"High",1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1
1.94591014905531,3.43398720448515,3.93182563272433,3,1,2,2,"Elementary",1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,3,2,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1
5.48063892334199,4.39444915467244,3.04452243772342,4,1,2,2,"High",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
3.80666248977032,3.04452243772342,3.43398720448515,2,0,1,1,"Middle_Combined",1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
